id,nome,link,ativo,Atualizar,Motivo,Novo Link,Comentário Outros
1,ALEGRIA DE APRENDER,http://www.projetos.unijui.edu.br/matematica/fabrica_virtual/dentes_prontos/objeto_rived/index.html,TRUE,Sim,Flash,,
2,BARRAS E NÚMEROS,http://www.noas.com.br/educacao-infantil/matematica/barras-e-numeros/,TRUE,Não,,,
3,BLOCOS LÓGICOS,http://www.projetos.unijui.edu.br/matematica/2009/blocos_logicos/,TRUE,Sim,Flash,,
4,BRINCANDO COM OS NÚMEROS,http://www.noas.com.br/educacao-infantil/matematica/brincando-com-os-numeros/,TRUE,Sim,Flash,,
5,BRINCANDO E APRENDENDO COM GRÁFICOS E TABELAS,http://www.noas.com.br/educacao-infantil/matematica/brincando-e-aprendendo-com-graficos-e-tabelas/,TRUE,Sim,Flash,,
6,CONTANDO LETRAS,http://www.noas.com.br/educacao-infantil/lingua-portuguesa/contando-letras/,TRUE,Não,,,
7,CUBOS,http://www.projetos.unijui.edu.br/matematica/2009/cubinhos/,TRUE,Sim,Flash,,
8,ESTACIONAMENTO,http://www.noas.com.br/ensino-fundamental-1/matematica/estacionamento/,TRUE,Não,,,
9,FAZENDA,http://rived.mec.gov.br/atividades/matematica/fazenda/mat1_ativ1.swf,FALSE,Não,,,
10,GEOMETRIA (SÓLIDOS E FIGURAS PLANAS),http://rived.mec.gov.br/modulos/matematica/geometria/atividade1_p2.htm,TRUE,Sim,Link quebrado,Procurar novo link,
11,JOGO DA PÁSCOA,http://www.noas.com.br/educacao-infantil/matematica/jogo-da-pascoa/,TRUE,Sim,Flash,,
12,JOGO DAS CORES,http://www.noas.com.br/educacao-infantil/matematica/jogo-das-cores/,TRUE,Sim,Flash,,
13,MICO MATEMÁTICO,http://www.noas.com.br/ensino-medio/matematica/aritmetica/mico-matematico/,TRUE,Sim,Flash,,
14,NUMERAL E QUANTIDADE,http://www.projetos.unijui.edu.br/matematica/2009/cristiano/,TRUE,Sim,Flash,,
